UID,Stratum,featTyp,spuddate,Date,USUh,n
ALU_101_disturbed,ALU,disturbed,1999-01-01,2001-05-01,0.02860960729899668,5
ALU_103_disturbed,ALU,disturbed,1999-01-01,2001-05-01,0.02682266949039165,5
ALU_44_undisturbed,ALU,undisturbed,NA,2001-05-01,0.02688695678277022,5
ALU_39_undisturbed,ALU,undisturbed,NA,2001-05-01,0.02717972239279656,5
ALU_33_undisturbed,ALU,undisturbed,NA,2001-05-01,0.02740233652359583,5
ALU_30_undisturbed,ALU,undisturbed,NA,2001-05-01,0.02842676152786477,5
ALU_37_undisturbed,ALU,undisturbed,NA,2001-05-01,0.02753253632258615,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2001-06-01,0.02731080518678187,5
ALU_101_disturbed,ALU,disturbed,1999-01-01,2001-06-01,0.0291396652846603,5
ALU_28_disturbed,ALU,disturbed,1979-05-04,2001-06-01,0.02649951056217452,5
ALU_103_disturbed,ALU,disturbed,1999-01-01,2001-06-01,0.02825398869765289,5
ALU_104_disturbed,ALU,disturbed,1999-01-01,2001-06-01,0.02647365242838281,5
ALU_50_undisturbed,ALU,undisturbed,NA,2001-06-01,0.02732748292805992,5
ALU_39_undisturbed,ALU,undisturbed,NA,2001-06-01,0.02793647895304921,5
ALU_35_undisturbed,ALU,undisturbed,NA,2001-06-01,0.02798650410536793,5
ALU_34_undisturbed,ALU,undisturbed,NA,2001-06-01,0.02702537318214033,5
ALU_30_undisturbed,ALU,undisturbed,NA,2001-06-01,0.02919616863411476,5
ALU_104_disturbed,ALU,disturbed,1999-01-01,2001-07-01,0.02716395356609339,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2001-07-01,0.02771387868526843,5
ALU_28_disturbed,ALU,disturbed,1979-05-04,2001-07-01,0.02618716298169231,5
ALU_103_disturbed,ALU,disturbed,1999-01-01,2001-07-01,0.02902202357398064,5
ALU_101_disturbed,ALU,disturbed,1999-01-01,2001-07-01,0.02939923451637132,5
ALU_41_undisturbed,ALU,undisturbed,NA,2001-07-01,0.02801756400374601,5
ALU_33_undisturbed,ALU,undisturbed,NA,2001-07-01,0.02787849907010688,5
ALU_30_undisturbed,ALU,undisturbed,NA,2001-07-01,0.02923500093544455,5
ALU_43_undisturbed,ALU,undisturbed,NA,2001-07-01,0.02598745875611514,5
ALU_44_undisturbed,ALU,undisturbed,NA,2001-07-01,0.02799211472165165,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2001-08-01,0.02753244949326228,5
ALU_103_disturbed,ALU,disturbed,1999-01-01,2001-08-01,0.02830749726161354,5
ALU_101_disturbed,ALU,disturbed,1999-01-01,2001-08-01,0.02959375089689499,5
ALU_104_disturbed,ALU,disturbed,1999-01-01,2001-08-01,0.02722500353164956,5
ALU_28_disturbed,ALU,disturbed,1979-05-04,2001-08-01,0.02682287737877118,5
ALU_33_undisturbed,ALU,undisturbed,NA,2001-08-01,0.0279360880418488,5
ALU_37_undisturbed,ALU,undisturbed,NA,2001-08-01,0.02817440081180482,5
ALU_34_undisturbed,ALU,undisturbed,NA,2001-08-01,0.02640683652015561,5
ALU_44_undisturbed,ALU,undisturbed,NA,2001-08-01,0.02784197852317911,5
ALU_52_undisturbed,ALU,undisturbed,NA,2001-08-01,0.02741659887901919,5
ALU_102_disturbed,ALU,disturbed,1999-01-01,2001-09-01,0.02746029085703462,5
ALU_101_disturbed,ALU,disturbed,1999-01-01,2001-09-01,0.02945696165711812,5
ALU_103_disturbed,ALU,disturbed,1999-01-01,2001-09-01,0.02888548315276785,5
ALU_28_disturbed,ALU,disturbed,1979-05-04,2001-09-01,0.0262032322381518,5
ALU_104_disturbed,ALU,disturbed,1999-01-01,2001-09-01,0.02659163725770265,5
